id_abbonamento,durata,costo,tipo,id_sottoscrizione,data_inizio,data_fine,FK_Utente,FK_Abbonamento,id_utente,username,email,lingua,nome,sesso,data_di_nascita,indirizzo,tfa,steamid,FK_Statistiche
1,1,5.99,CSGO,65,2017-03-12,2017-09-12,12616,1,12616,Bennie_Hane99,Cleve_OReilly31@yahoo.com,zh_TW,Ena Koch,f,1980-03-30,8940 Beatty Overpass,0,0:0:53970368,11061
1,1,5.99,CSGO,67,2016-00-24,2016-06-24,13168,1,13168,Maximilian_Feeney48,John.Reilly@hotmail.com,ge,Juanita Bogan,f,1999-03-12,7013 Elijah Street,1,1:1:92448325,21941
1,1,5.99,CSGO,68,2016-08-23,2016-09-23,1758,1,1758,Ubaldo.Crist6,Ottilie28@hotmail.com,zh_TW,Thora Legros,f,1997-04-10,9615 Americo Village,1,0:0:109485056,874
2,3,17.97,CSGO,69,2016-04-08,2016-05-08,1261,2,1261,Sheridan66,Clifton.Beer47@yahoo.com,en_AU,Alexzander Prohaska,f,1976-12-04,83897 Jaleel Mission,0,1:1:33306147,167
1,1,5.99,CSGO,71,2017-04-24,2018-04-24,4282,1,4282,Conrad65,Pablo49@hotmail.com,en_IE,Brandon Willms,f,1996-09-14,52095 Hagenes Terrace,0,1:1:25842866,2879
1,1,5.99,CSGO,72,2018-00-22,2018-03-22,4548,1,4548,Lamont.Schulist22,Mellie.Grimes@hotmail.com,uk,Sierra Bode,f,1994-03-22,03246 Will Tunnel,1,1:1:70773522,3532
7,6,29.94,PUBG,73,2016-07-09,2016-10-09,2842,7,2842,Americo97,Alejandra.Jerde68@gmail.com,de,Liliane Heathcote,f,1974-12-29,686 Hirthe Union,0,1:1:34863887,4613
4,12,39.99,CSGO,74,2016-05-27,2016-06-27,998,4,998,Astrid_Murphy10,Emelie.Reilly@gmail.com,sk,Elise Eichmann,f,1977-02-22,4942 McGlynn Mount,0,0:0:86510960,1324
1,1,5.99,CSGO,75,2017-06-00,2018-06-00,14298,1,14298,Blanca.VonRueden94,Anibal.Kunze87@hotmail.com,en_IE,Brody Donnelly,f,1998-09-04,05032 Schneider Hollow,0,0:0:96813373,14092
1,1,5.99,CSGO,76,2016-09-07,2017-09-07,13045,1,13045,Forest27,Deion.Morissette87@hotmail.com,en_CA,Richmond Grant,f,1991-05-04,56117 Green Center,0,0:0:14460116,12597
4,12,39.99,CSGO,77,2018-08-13,2018-11-13,5247,4,5247,Dannie_MacGyver42,Rebeka_Lebsack33@yahoo.com,en_BORK,Gussie Gutkowski,f,1972-07-08,167 Streich Lodge,1,0:0:65386268,15009
1,1,5.99,CSGO,80,2018-04-22,2019-04-22,15202,1,15202,Minerva63,Arlene.Jakubowski23@yahoo.com,ge,Fausto Spinka,f,1986-05-16,98166 Kihn View,1,0:0:46615603,9961
13,1,9.99,premium,81,2018-03-03,2018-09-03,9473,13,9473,Sandrine.Berge45,Llewellyn.Torphy51@gmail.com,tr,Rasheed Bergstrom,f,1985-04-22,74529 Lueilwitz Stream,1,0:0:42725262,18036
3,6,29.94,CSGO,83,2017-05-25,2017-06-25,2239,3,2239,Camylle.Aufderhar5,Rahsaan_Lesch71@yahoo.com,sk,Eldon Gorczany,m,1960-08-15,2915 Cassandra Harbor,1,1:1:71511494,3527
13,1,9.99,premium,84,2018-07-22,2019-01-22,10891,13,10891,Howell_Schimmel64,Christiana42@gmail.com,sk,Cielo Okuneva,m,1971-06-25,2981 Toy Coves,1,1:1:89817439,16709
1,1,5.99,CSGO,85,2016-11-25,2016-12-25,8740,1,8740,Augusta.Walsh,Pietro19@gmail.com,vi,Sylvia Rau,f,1970-03-16,3222 Cristian Court,0,1:1:43732187,19778
1,1,5.99,CSGO,87,2016-11-01,2016-12-01,15183,1,15183,Toni.Pfannerstill25,Shyann56@yahoo.com,es,Dolly Tillman,m,1960-10-18,0148 Jordan Viaduct,0,1:1:50479861,13383
4,12,39.99,CSGO,88,2018-07-26,2018-10-26,4963,4,4963,Eleanore.Torp61,Rickie30@gmail.com,sk,Kimberly Kerluke,m,1996-02-04,126 Clovis Valleys,1,0:0:41816704,24812
3,6,29.94,CSGO,89,2018-05-26,2018-06-26,11962,3,11962,Wilson_Hessel84,Jordy1@yahoo.com,en_CA,Elmira Kozey,f,1964-06-30,74494 Sadie Ferry,0,1:1:105603121,10204
3,6,29.94,CSGO,90,2018-08-06,2018-09-06,8607,3,8607,Birdie_Mraz1,Foster10@hotmail.com,de_CH,Anika Swift,f,1982-02-08,9824 Waters Dam,1,0:0:48001704,17082
1,1,5.99,CSGO,91,2017-06-14,2018-06-14,14462,1,14462,Seth29,Sister_Kozey@hotmail.com,pl,Roy Little,m,1971-10-30,75334 Effertz Bridge,0,0:0:28524964,9430
7,6,29.94,PUBG,92,2017-04-00,2017-10-00,8818,7,8818,Jacinthe62,Sammy73@hotmail.com,fa,Waylon Stokes,f,1994-06-26,4344 Romaguera Mission,1,1:1:26330763,7926
13,1,9.99,premium,93,2016-11-08,2017-05-08,16673,13,16673,Pat_Will16,Obie_Labadie@yahoo.com,de_CH,Emerson Gaylord,m,1977-09-10,0058 Ruecker Lodge,1,1:1:97639124,10184
4,12,39.99,CSGO,94,2017-11-05,2017-12-05,858,4,858,Evert45,Eloy.Waelchi99@hotmail.com,ja,Lilian Beer,f,1988-10-25,95443 Cummings Crossroad,0,1:1:83025281,2432
13,1,9.99,premium,95,2018-05-26,2018-11-26,13615,13,13615,Joyce.Wisozk73,Ivah_Marquardt@gmail.com,cz,Jazlyn Bernhard,f,1997-07-14,557 Kelli Light,0,0:0:82701947,10353
7,6,29.94,PUBG,97,2017-02-12,2017-08-12,13294,7,13294,Candido.Eichmann,Marjorie.Rath47@gmail.com,pl,Lenny Tromp,f,1997-12-26,6579 Arturo Knoll,1,1:1:28178904,13879
2,3,17.97,CSGO,98,2016-05-18,2016-06-18,3871,2,3871,Kamron50,Dell_Mohr92@hotmail.com,en_GB,Sally Hane,f,1981-08-07,06049 Gilda Meadow,1,1:1:29843135,2805
2,3,17.97,CSGO,99,2016-11-28,2016-12-28,11912,2,11912,Larue_Hand,Austyn91@yahoo.com,tr,Sonya Hayes,m,1988-09-13,64870 Shaun Highway,0,1:1:100100013,11072
1,1,5.99,CSGO,100,2016-09-24,2016-10-24,4375,1,4375,Kellie.Hilll77,Moses71@gmail.com,tr,Reta Fahey,m,1975-10-22,50444 Satterfield Glens,0,1:1:78159195,2038
4,12,39.99,CSGO,102,2018-09-12,2018-10-12,11447,4,11447,Marlen.Wilkinson85,Hollis20@hotmail.com,fa,Vivienne Lueilwitz,f,1971-07-24,4443 Twila Pass,0,1:1:33309946,16807
3,6,29.94,CSGO,103,2018-05-04,2018-06-04,7230,3,7230,Alaina20,Floyd21@hotmail.com,pt_BR,Torrance Abbott,m,1978-06-16,441 Gusikowski Lodge,1,0:0:31093754,11332
1,1,5.99,CSGO,104,2016-00-20,2016-12-20,748,1,748,Lee.Cruickshank,Newell65@hotmail.com,ru,Vidal Treutel,f,1994-10-12,54556 Streich Turnpike,0,1:1:77529250,2168
3,6,29.94,CSGO,105,2016-06-29,2016-07-29,9785,3,9785,Estella.Keeling23,Carleton71@gmail.com,en_IND,May Beatty,f,1973-12-06,4349 Block Knolls,0,1:1:52376164,19602
7,6,29.94,PUBG,106,2016-07-20,2016-10-20,8898,7,8898,Desmond.White35,Madie.Jacobs67@hotmail.com,en_CA,Dana Thiel,m,1983-10-19,7660 Marlon Plaza,1,1:1:48974016,23160
7,6,29.94,PUBG,107,2016-08-11,2016-11-11,6898,7,6898,Hermann38,Ellsworth.Cremin@gmail.com,pl,Devyn Simonis,m,1991-06-17,6496 Hammes Plains,0,0:0:55839824,14103
13,1,9.99,premium,108,2017-11-25,2018-11-25,12935,13,12935,Enola79,Heidi45@gmail.com,ge,Florine Rosenbaum,f,1997-10-14,124 Federico Mountain,0,1:1:62296418,11375
1,1,5.99,CSGO,109,2016-08-08,2017-02-08,5726,1,5726,Riley42,Emanuel48@yahoo.com,en_US,Bettye Feest,f,1998-03-09,3076 Kuhn Route,1,1:1:14974476,5157
7,6,29.94,PUBG,110,2016-10-27,2017-04-27,8007,7,8007,Shawn.Olson24,Stacy_Carroll@hotmail.com,fr_CA,Gerda Wilderman,m,1976-12-28,171 Hessel Station,1,1:1:104355812,14727
1,1,5.99,CSGO,112,2018-05-24,2018-06-24,6668,1,6668,Kayla.Leuschke,Camden.Murphy@hotmail.com,en_AU,Cortez Okuneva,m,1960-05-28,467 Trevion Fork,0,1:1:93053033,22243
3,6,29.94,CSGO,114,2018-08-23,2018-09-23,4594,3,4594,Arianna51,Estell.Volkman@gmail.com,en_AU,Eula Blick,f,1989-10-10,17693 Gutkowski Trail,0,1:1:85777088,1012
4,12,39.99,CSGO,115,2018-04-03,2018-07-03,12347,4,12347,Minnie.Hayes,Freda8@gmail.com,en_BORK,Angus Ryan,m,1966-12-17,90561 Silas Streets,1,1:1:21087990,11728
4,12,39.99,CSGO,117,2017-02-17,2017-03-17,12211,4,12211,Leatha.Blanda,Nelle82@hotmail.com,es,Amiya Buckridge,m,1967-09-01,38094 Rogelio Ranch,0,1:1:50942281,15283
1,1,5.99,CSGO,119,2018-07-06,2019-01-06,7070,1,7070,Khalil26,Savanah.Mitchell84@gmail.com,id_ID,Brady Christiansen,m,1980-08-10,66090 Kevin Locks,0,0:0:35833686,14670
10,3,17.97,D2,120,2017-03-15,2017-06-15,6040,10,6040,Xzavier.Purdy73,Gonzalo.Kuphal27@hotmail.com,ja,Fabian Leuschke,m,1961-12-16,0244 Jeanne Port,0,0:0:55222515,6612
13,1,9.99,premium,121,2016-08-04,2017-02-04,16719,13,16719,Crystal40,Breanna_Ward@gmail.com,cz,Karine Kassulke,f,1994-06-30,37950 Hessel Path,1,1:1:108159012,9614
13,1,9.99,premium,122,2017-09-13,2018-09-13,8712,13,8712,Marcelo.Goyette,Kenya_Christiansen@yahoo.com,de,Jayme Weissnat,m,1994-06-30,153 Monahan Fort,1,1:1:100910789,19703
2,3,17.97,CSGO,124,2018-05-09,2018-06-09,2211,2,2211,Cristian.Fahey,Johnpaul.Mills1@yahoo.com,en_au_ocker,Raul Parker,m,1995-04-13,0452 Hodkiewicz Views,0,0:0:103062904,4124
1,1,5.99,CSGO,125,2018-11-12,2019-05-12,14211,1,14211,Eric48,Marcelo.OKeefe@hotmail.com,en_BORK,Liana Hoeger,m,1975-01-25,6432 Emelia Course,0,1:1:56696926,19532
1,1,5.99,CSGO,126,2017-04-08,2018-04-08,11175,1,11175,Shirley_Denesik,Maybell.Stark@hotmail.com,id_ID,Vladimir Rice,m,1967-06-16,563 Agustin Keys,1,0:0:104151681,19176
7,6,29.94,PUBG,128,2018-09-21,2018-12-21,10618,7,10618,Miles34,Caleigh34@hotmail.com,en_AU,Althea Rutherford,f,1987-06-16,1354 Teresa Estate,1,1:1:26380730,8270
1,1,5.99,CSGO,129,2016-10-12,2016-11-12,7999,1,7999,Craig4,Vern_Nitzsche29@hotmail.com,es_MX,Angelita Koelpin,m,1988-07-27,654 Denesik Forks,1,0:0:88263718,5885
4,12,39.99,CSGO,130,2016-06-18,2016-07-18,12936,4,12936,Rahul.Schmidt,Reece_Frami26@hotmail.com,en_CA,Cornelius Hand,m,1982-07-30,80171 Abagail Radial,0,0:0:68048252,12137
10,3,17.97,D2,131,2016-02-25,2016-05-25,628,10,628,Jamey19,Rodolfo_Wyman82@hotmail.com,es_MX,Elyse Ruecker,f,1982-10-20,644 Pedro Circles,0,0:0:68118055,923
4,12,39.99,CSGO,132,2017-08-28,2017-09-28,7152,4,7152,Emmitt_Metz0,Hettie.Funk76@gmail.com,de_AT,Willard Greenfelder,m,1961-08-02,661 Jacquelyn Row,1,0:0:29756532,21439
4,12,39.99,CSGO,133,2016-11-05,2016-12-05,7746,4,7746,Suzanne_Bergnaum,Antonetta.Maggio96@hotmail.com,en_US,Wilmer Schiller,m,1998-10-13,5676 Darwin Center,0,1:1:94588183,16984
3,6,29.94,CSGO,134,2018-03-24,2018-04-24,10007,3,10007,Abner98,Cleveland69@hotmail.com,fa,Roxanne Howell,f,1992-08-12,626 Nora Union,1,0:0:87939493,9396
2,3,17.97,CSGO,135,2016-08-17,2016-09-17,10002,2,10002,Kamren_Bashirian,Kole_Smitham28@hotmail.com,fr_CA,Kira Bergstrom,m,1973-09-27,87110 Ruben Mountains,1,1:1:99495641,13807
7,6,29.94,PUBG,136,2018-02-14,2018-08-14,10596,7,10596,Claudia_Hessel,Lester.Cruickshank28@yahoo.com,nl,Luz Blick,m,1964-07-04,7004 Fanny Junction,0,0:0:82723295,20061
4,12,39.99,CSGO,137,2018-00-16,2018-01-16,3988,4,3988,Arne89,Retta_Corkery@hotmail.com,cz,Nels Kling,f,1978-11-17,9609 Vince Island,0,1:1:90152621,3115
1,1,5.99,CSGO,138,2017-01-20,2017-02-20,15452,1,15452,Melisa.Hegmann,Reanna47@yahoo.com,en_au_ocker,Forrest Emmerich,f,1996-06-26,29607 Sebastian Stream,0,0:0:100900895,15039
1,1,5.99,CSGO,140,2017-08-11,2017-09-11,6969,1,6969,Newell38,Nora80@gmail.com,sk,Cristal Metz,f,1982-03-24,757 Reanna Haven,0,1:1:61210953,23633
10,3,17.97,D2,142,2017-00-15,2017-03-15,9243,10,9243,Rhoda40,Rey21@hotmail.com,uk,Dario Kozey,f,1975-04-24,8903 Michelle Lock,1,0:0:18288474,23835
4,12,39.99,CSGO,143,2016-10-13,2017-01-13,10542,4,10542,Noemie70,Kiara.Wehner83@gmail.com,fa,Angie Schaefer,m,1973-08-14,9954 Idella Plaza,0,1:1:52394815,23056
7,6,29.94,PUBG,144,2017-07-21,2017-10-21,12470,7,12470,Otis_Kiehn,Toney.MacGyver@yahoo.com,it,Kavon Collins,f,1988-07-04,9763 Dena Trafficway,1,0:0:70311692,19673
4,12,39.99,CSGO,145,2017-01-20,2017-02-20,9940,4,9940,Koby.Stoltenberg88,Kelvin_Koelpin@yahoo.com,fr,Peyton Schroeder,f,1962-04-10,269 Beatty Rue,0,0:0:92496292,19927
10,3,17.97,D2,146,2018-10-04,2019-01-04,5005,10,5005,Pascale.Leuschke61,Randall.Thiel37@gmail.com,fr,Brooks Moen,m,1984-02-29,4601 Leila Field,1,0:0:19852448,16742
3,6,29.94,CSGO,147,2016-03-05,2016-04-05,7812,3,7812,Zetta_Kilback,Cathryn97@hotmail.com,pt_BR,Fanny Fahey,f,1976-10-28,28216 Koch Prairie,0,0:0:97830320,14247
7,6,29.94,PUBG,148,2016-06-19,2016-09-19,3142,7,3142,Natalia.Predovic,Kara5@yahoo.com,ja,Wava Becker,m,1987-05-03,153 Winston Green,1,0:0:23461989,4936
1,1,5.99,CSGO,149,2017-08-18,2018-08-18,15645,1,15645,Dwight6,Roger_Armstrong7@hotmail.com,de,Janelle Ortiz,m,1971-06-03,72625 Ignacio Oval,0,1:1:77600805,15506
1,1,5.99,CSGO,150,2016-07-27,2017-07-27,3957,1,3957,Presley.Schowalter54,Moriah.Gleason@gmail.com,es,Claire Hodkiewicz,f,1973-08-30,58520 Graham Square,0,0:0:51370335,3919
7,6,29.94,PUBG,151,2016-07-03,2016-10-03,3203,7,3203,Donald.Casper67,London_Collins@hotmail.com,nb_NO,Foster Pagac,f,1991-12-21,075 Courtney Street,0,0:0:25372848,4929
1,1,5.99,CSGO,152,2018-03-25,2019-03-25,1401,1,1401,Finn.Jakubowski31,Armando_Kreiger58@gmail.com,fr_CA,Sincere Steuber,f,1974-05-17,59908 Walker Landing,0,1:1:24739000,4032
7,6,29.94,PUBG,154,2016-09-20,2017-03-20,15620,7,15620,Karl_Cartwright,Dovie.Spencer98@gmail.com,vi,Chet Ruecker,m,1989-01-11,58970 Alvera Station,1,1:1:81893158,13825
4,12,39.99,CSGO,155,2017-01-29,0000-00-00,1662,4,1662,Waino61,Nelda_Pacocha@hotmail.com,pt_BR,Bennett Orn,m,1975-03-10,858 Satterfield Flats,1,0:0:73361433,1278
10,3,17.97,D2,156,2017-05-18,2017-08-18,2168,10,2168,Rosalee77,Kevin.Welch@hotmail.com,nb_NO,Darrin Murphy,m,1986-10-11,86219 Ramon Springs,1,1:1:54226600,3627
4,12,39.99,CSGO,157,2016-03-21,2016-04-21,5821,4,5821,Raymundo70,Vladimir.Schumm78@hotmail.com,id_ID,Jeff Bechtelar,f,1963-04-09,8891 Rhoda Fall,1,0:0:90830053,8093
2,3,17.97,CSGO,158,2018-11-21,2018-12-21,7032,2,7032,Aniyah63,Josue_Denesik76@hotmail.com,ge,Merle Marvin,f,1977-07-16,4731 DuBuque Hills,0,0:0:87374744,13421
7,6,29.94,PUBG,159,2016-08-18,2016-11-18,5008,7,5008,Effie43,Randall_Miller90@hotmail.com,tr,Luigi Aufderhar,f,1963-04-18,525 Mertz Orchard,1,0:0:63139259,22871
